Timestamp,Sample,S1_X,S1_Y,S1_Z,S2_X,S2_Y,S2_Z,S3_X,S3_Y,S3_Z,S4_X,S4_Y,S4_Z
2026-06-17T17:25:33.469000,0,-105.68021167007102,76.23706531763149,114.27814015784725,-0.45250322558314227,1.665446978088716,-0.34273214538364866,-28.098316028880888,-55.4868969236384,123.89348665345823,-14.60175296772205,-52.84800977498004,81.1818293884352
2026-06-17T17:25:33.477000,1,-105.70053853015834,75.8903015603558,113.7294850541692,-0.4576331414527176,1.9256629369696374,-0.8658203135808278,-27.86881970187968,-55.527305889460656,123.85609412998316,-14.502795219765824,-52.66497935830357,80.65188610607125
2026-06-17T17:25:33.487000,2,-105.69923174703652,75.80572732297637,113.82485525050464,-0.37446487177455057,1.6051869665430833,-0.7308096332084985,-28.167412582699,-55.47881339488001,123.51821257004534,-14.811708580309768,-52.883329801134956,80.15321098012744
2026-06-17T17:25:33.497000,3,-105.84478922504009,75.70705283871219,114.13595282105535,-0.3130001194425949,1.8024047582461362,-1.1093834410420538,-28.350038492144442,-55.55761369857356,124.76155858035548,-14.299669469793143,-53.44527127934469,80.20615947480279
2026-06-17T17:25:33.507000,4,-105.51479074110802,75.84519469499946,113.9410747984748,-0.48376915633501,1.6079280632662323,-0.5911280965121034,-27.657269302309164,-55.503059642170335,124.34101588720998,-14.994419764938598,-53.018196859225114,80.65419916539948
2026-06-17T17:25:33.517000,5,-106.06569732130995,75.75498096428679,115.2261153003875,-0.7323022280100142,1.3477121043853109,-0.719402840188959,-27.546220593235066,-55.62024911424275,123.31794436298081,-14.694774861176885,-52.73562285848787,80.27073917095257
2026-06-17T17:25:33.527000,6,-105.71703680896552,75.91003827347059,113.97355032156082,0.028192449121464944,1.0628468626324143,-0.4927832988304854,-28.240444292799353,-55.462650676348076,123.00994812859032,-14.452114387269152,-53.002140107780036,80.25138377014291
2026-06-17T17:25:33.537000,7,-105.84400479719828,76.09046573489596,113.9733332109986,-0.36883462470377065,1.153235409405407,-0.4413067657176706,-28.035038756687037,-55.735416619379365,124.08363034643534,-14.721437610457937,-53.07599702697805,80.79176698659715
2026-06-17T17:25:33.548000,8,-105.8297884507922,75.71551056516046,114.50666051277113,-0.5123938248075575,1.7859699422708792,-0.9356792780477962,-28.33806322481567,-55.46062870941227,124.69046148657966,-14.874168585703805,-52.70350935559771,80.9060843806144
2026-06-17T17:25:33.558000,9,-105.88466001672485,75.88748332724079,114.64472693483806,-0.5611393146618162,1.46549397184433,-0.4565456802100941,-27.842276156512597,-55.30101047407421,123.88090529185406,-14.538737598981138,-53.37462777916038,81.5457637662717
2026-06-17T17:25:33.571000,10,-105.70777920690897,75.9664210983902,114.37427958399704,-0.18697877022481169,2.0680970283915396,-0.3606574527693029,-28.030902738635795,-55.668741608823396,124.74413849324874,-14.942462157088546,-52.989296775348656,80.57028222652761
2026-06-17T17:25:33.578000,11,-105.70554301030882,76.00870973063154,114.21659338017324,-0.1119110816911287,1.964011821275531,-0.43889412005373746,-28.29832911615894,-55.39395369885631,123.68133451915297,-14.867622350373614,-53.13700716587021,80.88325494497111
2026-06-17T17:25:33.588000,12,-105.73182333277954,76.05663482910288,114.1683452694092,-0.35742231485557624,2.046182960060898,-0.4038295313402982,-28.161386882705575,-55.60004463133162,124.56339212973563,-14.61299090971313,-53.62830169602116,80.15090090723392
2026-06-17T17:25:33.598000,13,-105.93699254973575,76.21169213828668,114.68400395521788,-0.7179087189539354,1.498363603794839,-0.6440165730945069,-28.033779543080886,-55.64045359715388,124.28465308112341,-14.578943711276205,-53.04709694310159,80.34347731388583
2026-06-17T17:25:33.608000,14,-105.79836427036992,75.89594105368906,114.34377790255787,-0.298596869435934,1.848968109448753,-0.5123771922827219,-28.070608955217573,-55.37172724900937,124.02183098799054,-14.371425668047092,-53.27829416623883,80.39804296965886
2026-06-17T17:25:33.622000,15,-105.9408703883253,75.93541145281539,114.51099865394501,-0.5940024396963342,1.6873610464193578,-0.7766586142170031,-27.766242341516243,-55.62428870912953,123.38098485646582,-14.646525242191853,-52.41130199356831,80.77372366736161
2026-06-17T17:25:33.628000,16,-105.89322529833575,75.5660927493099,114.58799260422904,-0.2751021168329616,1.7695351262956274,-0.6909141789442083,-28.061115486168006,-55.53538724872662,124.54627597743544,-14.657064118480504,-52.93471002660944,81.45254273478653
2026-06-17T17:25:33.639000,17,-105.97122706440794,75.88748332724079,114.69680695711813,-0.35133787258504556,1.829795137841255,-0.47334384038205163,-28.370050507310676,-55.77380578775823,124.87048227476757,-14.969856906322718,-52.31175840950753,81.2689744885808
2026-06-17T17:25:33.649000,18,-105.65698062132151,75.74934147095351,114.10385939710217,-0.37756422204540907,1.5367095470098298,-0.4495117588591723,-27.64162761563831,-55.60004463133162,124.44296934941488,-14.43809399310085,-53.32003758254668,79.66743936949875
2026-06-17T17:25:33.659000,19,-105.74008259587129,76.05099836287286,114.17050379630093,-0.03479360758202171,1.8818377413992617,-0.630558024554811,-27.89911422965241,-55.733396821935976,123.89327582651147,-14.69725410745312,-53.04709694310159,80.87281580450257
2026-06-17T17:25:33.674000,20,-105.7402371221088,75.99743377106826,114.32426007702283,-0.24425121993842103,1.6955784544069838,-0.3058210686680398,-28.142437725265538,-55.38991193447711,124.61468806975545,-14.822182275702781,-52.71635613590357,80.18973709672142
2026-06-17T17:25:33.679000,21,-105.98748397810596,75.84519469499946,114.64691103721255,-0.4509983212455513,1.5421887993652148,-0.6957462145349279,-27.69634063663471,-55.43638246212195,123.80235216979086,-14.405449362506017,-52.80626635867219,81.13930299826077
2026-06-17T17:25:33.689000,22,-105.89365971887355,76.02844341664307,114.55619963729845,0.17640239129514845,1.4572765638567042,-0.15954698125336647,-28.089028406860532,-55.83240160854065,123.7241506090651,-14.35751528024793,-53.20765066605451,80.46626234276482
